cbg,week_number,device_count_week,completely_home_device_count_per_week,median_home_dwell_time_per_week,median_non_home_dwell_time_per_week
181570053002,11,548,88,0,4500
181570051023,11,213,89,5800,88
181570054003,11,1142,39,0,7175
181570051011,11,417,190,5186,90
181570054002,11,1568,91,0,4060
181570007004,11,227,65,1071,828
181570052001,11,179,70,3930,169
181570013003,11,311,117,2774,381
181570004004,11,228,80,1519,313
181570052003,11,365,90,1398,1226
181570103001,11,1733,55,0,7817
181570007003,11,224,33,10,1082
181570007001,11,269,90,5673,177
181570017002,11,313,104,1860,515
181570051012,11,237,75,1708,583
181570055001,11,891,71,0,6155
181570105001,11,928,187,0,4866
181570052002,11,270,101,2474,370
181570001001,11,477,116,0,856
181570007001,12,270,90,5808,152
181570004004,12,255,80,1595,373
181570051023,12,204,108,7782,36
181570053002,12,545,125,19,3856
181570007003,12,215,31,124,861
181570054003,12,1130,70,0,9072
181570055001,12,862,120,0,7811
181570001001,12,469,129,0,617
181570017002,12,304,108,1986,243
181570013003,12,323,124,2737,227
181570007004,12,239,95,3237,346
181570105001,12,933,223,0,5746
181570052002,12,258,110,3852,189
181570052003,12,388,135,5305,313
181570054002,12,1551,149,0,4338
181570051011,12,435,226,6942,6
181570051012,12,216,106,5566,74
181570052001,12,164,93,6620,21
181570103001,12,1716,61,0,9326
181570105001,13,866,258,0,4024
181570001001,13,464,176,606,385
181570004004,13,240,104,2585,83
181570051011,13,502,288,7267,9
181570013003,13,332,144,5753,78
181570017002,13,376,119,1668,405
181570055001,13,799,155,0,5666
181570051012,13,268,138,4112,10
181570054002,13,982,168,0,4008
181570052003,13,390,171,5293,146
181570103001,13,1525,62,0,9350
181570052002,13,296,132,4304,35
181570007003,13,207,43,208,981
181570007004,13,249,106,2175,148
181570051023,13,220,116,7629,19
181570007001,13,323,134,5566,114
181570053002,13,472,122,350,2516
181570052001,13,161,99,6568,0
181570054003,13,1042,74,0,9125
181570017002,35,786,170,2334,1352
181570055001,35,772,184,10458,1674
181570007004,35,590,158,5676,898
181570105001,35,802,226,12038,1228
181570051011,35,1140,418,11752,490
181570052002,35,544,170,8434,902
181570007003,35,636,138,900,1990
181570051012,35,602,210,9458,662
181570001001,35,850,218,6112,1234
181570054002,35,720,140,10622,2790
181570053002,35,670,138,11808,2766
181570004004,35,328,100,7516,826
181570052003,35,664,160,6412,2578
181570052001,35,324,52,7870,4020
181570007001,35,578,144,8790,2708
181570013003,35,640,146,7372,1942
181570054003,35,758,154,13994,1860
181570051023,35,502,130,8472,2084
181570103001,35,974,152,12638,2392
181570017002,36,774,242,1786,692
181570007003,36,626,180,1138,1600
181570052001,36,328,60,7264,3176
181570052002,36,582,210,10386,694
181570052003,36,724,190,8118,1224
181570054002,36,836,208,12584,1416
181570007001,36,642,168,7542,1944
181570007004,36,528,152,4570,1034
181570013003,36,622,164,7316,1720
181570103001,36,1224,220,13968,1830
181570001001,36,844,302,7986,568
181570051011,36,1198,526,13632,312
181570053002,36,708,140,12132,2490
181570105001,36,868,278,13216,890
181570054003,36,976,208,12274,2110
181570051023,36,492,148,9894,878
181570051012,36,642,234,11704,322
181570004004,36,372,98,8856,1184
181570055001,36,964,248,10630,1514
181570017002,37,794,228,2210,794
181570051023,37,476,100,6368,2032
181570007001,37,620,114,7886,2312
181570007004,37,482,118,4806,1392
181570052001,37,302,50,7346,3734
181570004004,37,376,106,7356,1356
181570105001,37,902,288,13198,564
181570054002,37,808,220,11316,1252
181570055001,37,988,304,7768,1282
181570051011,37,1112,494,12640,116
181570052002,37,570,174,7700,802
181570007003,37,528,156,1430,1374
181570001001,37,780,274,6824,814
181570052003,37,836,288,8030,704
181570051012,37,604,204,9142,1108
181570013003,37,628,184,6760,1650
181570053002,37,724,158,12094,2038
181570103001,37,1360,272,13630,1878
181570054003,37,1006,202,12614,1980
181570017002,26,730,166,3604,1562
181570051011,26,984,442,11998,122
181570013003,26,586,190,7138,1408
181570001001,26,724,268,5720,576
181570051012,26,590,266,9526,118
181570054002,26,414,50,3866,4652
181570053002,26,434,84,1594,2732
181570105001,26,544,244,11204,316
181570052003,26,666,206,7716,1108
181570007001,26,624,196,9576,1280
181570004004,26,438,152,6268,640
181570051023,26,510,226,13744,186
181570054003,26,162,64,9314,118
181570103001,26,166,40,1836,2372
181570055001,26,322,64,0,3266
181570052001,26,390,116,8048,1520
181570007003,26,716,282,1368,264
181570052002,26,554,180,7080,1422
181570007004,26,390,146,8504,528
181570055001,27,314,98,800,1098
181570105001,27,602,276,11834,86
181570052001,27,330,76,7356,852
181570007001,27,702,226,8456,884
181570051011,27,1002,450,11214,136
181570052003,27,718,224,9538,1022
181570013003,27,626,198,6736,1802
181570053002,27,420,88,5504,1768
181570054002,27,380,66,5758,2894
181570103001,27,144,46,5276,742
181570001001,27,702,236,6024,826
181570007003,27,772,140,408,2226
181570004004,27,468,172,6566,210
181570052002,27,568,194,8078,848
181570051023,27,568,208,12976,418
181570017002,27,770,208,4874,1364
181570054003,27,144,50,13878,110
181570007004,27,462,166,6540,438
181570051012,27,614,264,10214,90
181570054002,28,350,68,9422,2580
181570051011,28,1046,502,10624,166
181570007001,28,686,214,9838,778
181570105001,28,610,280,10974,66
181570007004,28,482,126,8486,910
181570001001,28,712,284,8116,656
181570007003,28,546,136,156,1234
181570051023,28,542,186,13234,408
181570051012,28,602,236,9024,254
181570013003,28,616,200,8614,800
181570017002,28,774,208,4778,1298
181570055001,28,300,98,3196,1446
181570052003,28,696,208,10690,998
181570103001,28,158,48,6046,314
181570053002,28,396,88,7300,1948
181570004004,28,472,226,6804,104
181570052002,28,642,228,7424,772
181570054003,28,134,44,5434,38
181570052001,28,328,56,6276,2272
181570017002,19,390,115,1142,352
181570007001,19,316,132,5035,114
181570052003,19,378,159,4219,167
181570053002,19,329,77,1518,950
181570054002,19,268,74,2715,784
181570105001,19,413,159,2401,289
181570001001,19,300,114,1548,209
181570013003,19,299,131,5005,123
181570055001,19,381,115,205,843
181570051012,19,292,122,4713,88
181570052002,19,316,137,5759,104
181570052001,19,252,111,4370,61
181570054003,19,147,26,191,2678
181570051023,19,255,95,5648,144
181570007004,19,227,95,3965,150
181570007003,19,214,46,150,1309
181570103001,19,112,28,0,7330
181570004004,19,248,118,3387,65
181570051011,19,548,276,5931,4
181570001001,20,334,138,2697,133
181570053002,20,305,43,568,1917
181570052003,20,359,126,2508,404
181570007003,20,258,67,86,846
181570004004,20,260,91,1947,269
181570105001,20,455,179,2694,293
181570013003,20,301,99,4114,520
181570007004,20,230,89,4513,155
181570017002,20,424,111,1274,521
181570051011,20,574,293,5656,19
181570052001,20,239,97,4587,109
181570054002,20,310,44,148,2004
181570007001,20,292,93,3948,252
181570054003,20,138,37,0,1927
181570051023,20,265,96,5315,172
181570052002,20,342,126,3991,185
181570055001,20,352,68,0,2490
181570051012,20,326,148,5119,102
181570103001,20,127,21,0,8417
181570007003,21,259,75,217,519
181570007001,21,288,95,3238,528
181570013003,21,316,112,4466,393
181570017002,21,394,103,1313,572
181570055001,21,373,74,0,2068
181570054002,21,302,59,36,2350
181570053002,21,310,53,90,1757
181570001001,21,377,132,1372,247
181570051023,21,278,105,5062,171
181570007004,21,217,98,2884,242
181570052003,21,379,136,4211,494
181570105001,21,451,175,2390,388
181570052002,21,354,132,4325,242
181570052001,21,221,66,3802,426
181570004004,21,252,106,2864,70
181570054003,21,138,29,0,3034
181570051012,21,322,152,5471,33
181570051011,21,591,303,5655,30
181570103001,21,117,16,0,7848
181570052002,14,293,123,4493,42
181570055001,14,746,151,0,5940
181570051011,14,550,347,7469,0
181570105001,14,856,257,0,4482
181570051012,14,304,147,4014,70
181570051023,14,230,133,8031,5
181570001001,14,389,157,1346,153
181570017002,14,447,131,1332,443
181570054002,14,707,111,0,6509
181570007004,14,231,100,3537,165
181570053002,14,450,116,13,3727
181570054003,14,979,62,0,9223
181570052001,14,184,89,6708,60
181570013003,14,322,129,5451,188
181570052003,14,368,154,4746,199
181570103001,14,1398,38,0,9446
181570007003,14,150,27,332,1805
181570007001,14,310,148,5268,94
181570004004,14,242,119,4411,17
181570103001,15,1345,61,0,9533
181570017002,15,265,84,2285,351
181570013003,15,275,126,6350,47
181570052002,15,293,135,6188,32
181570055001,15,684,138,0,6845
181570052001,15,156,53,6021,112
181570007001,15,279,110,5360,370
181570007003,15,137,18,42,2801
181570105001,15,819,238,0,5495
181570051011,15,478,300,8698,0
181570054003,15,921,71,0,9271
181570004004,15,192,97,3383,16
181570001001,15,317,89,224,603
181570052003,15,312,146,6674,58
181570051023,15,179,82,8893,55
181570051012,15,264,113,5276,44
181570053002,15,402,109,72,4197
181570054002,15,672,98,0,6456
181570007004,15,208,99,4999,19
181570051011,29,1000,506,13244,8
181570007004,29,524,140,7206,920
181570051023,29,524,152,11664,1040
181570051012,29,564,244,11256,406
181570105001,29,586,302,14968,30
181570004004,29,496,140,4330,1128
181570017002,29,832,174,2882,1702
181570054002,29,336,60,11748,1692
181570052003,29,714,208,9392,1446
181570052002,29,640,184,5956,1076
181570007001,29,710,210,9360,1530
181570055001,29,306,76,1556,1658
181570001001,29,772,282,6848,930
181570013003,29,582,184,9202,988
181570054003,29,116,56,4024,22
181570053002,29,388,80,6924,2538
181570052001,29,346,96,8258,1444
181570007003,29,604,216,664,754
181570103001,29,132,64,9390,22
181570055001,30,252,58,804,1420
181570007001,30,614,176,7368,730
181570007004,30,438,118,6206,878
181570052001,30,270,72,8664,1464
181570105001,30,540,230,10570,290
181570052002,30,540,150,4670,898
181570052003,30,598,184,7214,1980
181570017002,30,774,198,1764,1056
181570053002,30,324,72,9070,1136
181570001001,30,662,230,5364,456
181570051011,30,858,388,11868,144
181570013003,30,554,168,6760,1268
181570054003,30,110,48,3544,34
181570051023,30,468,134,10274,758
181570054002,30,310,64,4272,2630
181570051012,30,526,194,8662,368
181570103001,30,98,30,3416,74
181570004004,30,428,144,3738,790
181570007003,30,514,174,870,534
181570055001,38,1002,230,5816,1642
181570013003,38,566,142,7768,1744
181570007001,38,590,154,9224,2078
181570053002,38,728,122,11070,2470
181570054003,38,956,146,10556,2670
181570052002,38,544,156,7708,1022
181570105001,38,808,300,14180,622
181570051023,38,456,108,4588,3400
181570054002,38,800,200,11118,1410
181570052001,38,296,78,7446,2700
181570007004,38,514,128,4746,1470
181570103001,38,1360,288,13428,1782
181570052003,38,720,224,5526,1204
181570017002,38,760,226,2024,1106
181570004004,38,408,116,6336,906
181570051011,38,1154,510,13488,172
181570051012,38,500,156,11510,1104
181570001001,38,856,316,7360,572
181570007003,38,554,188,3632,906
181570055001,39,1440,334,8724,1864
181570007001,39,564,116,12076,1696
181570017002,39,898,248,2216,1220
181570051023,39,460,114,5994,1962
181570052003,39,768,184,7294,1874
181570105001,39,916,320,13490,514
181570054003,39,1676,320,12508,2434
181570053002,39,966,202,12802,2038
181570013003,39,560,114,4248,2108
181570052001,39,318,78,8144,2666
181570001001,39,894,324,8306,724
181570004004,39,382,86,5858,3492
181570051011,39,1114,494,13904,272
181570054002,39,1264,298,11974,1144
181570051012,39,526,128,9278,1626
181570007004,39,544,116,5296,1992
181570103001,39,2442,574,14082,1852
181570052002,39,554,158,9458,1680
181570007003,39,678,196,1680,1792
181570013003,22,664,194,7452,814
181570051011,22,1132,510,10476,78
181570001001,22,748,264,3360,810
181570007004,22,420,156,5110,1064
181570051023,22,528,170,9434,570
181570004004,22,476,160,3792,890
181570017002,22,828,226,2368,614
181570055001,22,706,100,0,5520
181570052003,22,734,220,5072,934
181570103001,22,240,18,0,15516
181570052002,22,660,246,8590,466
181570053002,22,598,74,68,5460
181570054003,22,294,70,0,4960
181570051012,22,610,268,11314,130
181570007003,22,584,196,2264,698
181570054002,22,588,106,34,5290
181570007001,22,658,180,6640,840
181570105001,22,830,312,5322,898
181570052001,22,414,120,5320,1348
181570001001,23,768,282,4892,484
181570017002,23,734,176,3316,1270
181570013003,23,672,214,6280,802
181570051011,23,1090,536,10546,34
181570055001,23,564,104,0,4948
181570103001,23,236,32,0,9912
