Report Date,Cumulative or New Header,Report Date,Total or New Positive Cases
1/21/2020 12:00:00 AM,New,1/21/2020 12:00:00 AM,0
1/22/2020 12:00:00 AM,New,1/22/2020 12:00:00 AM,0
1/23/2020 12:00:00 AM,New,1/23/2020 12:00:00 AM,0
1/24/2020 12:00:00 AM,New,1/24/2020 12:00:00 AM,0
1/25/2020 12:00:00 AM,New,1/25/2020 12:00:00 AM,0
1/26/2020 12:00:00 AM,New,1/26/2020 12:00:00 AM,0
1/27/2020 12:00:00 AM,New,1/27/2020 12:00:00 AM,0
1/28/2020 12:00:00 AM,New,1/28/2020 12:00:00 AM,0
1/29/2020 12:00:00 AM,New,1/29/2020 12:00:00 AM,0
1/30/2020 12:00:00 AM,New,1/30/2020 12:00:00 AM,0
1/31/2020 12:00:00 AM,New,1/31/2020 12:00:00 AM,0
2/1/2020 12:00:00 AM,New,2/1/2020 12:00:00 AM,0
2/2/2020 12:00:00 AM,New,2/2/2020 12:00:00 AM,0
2/3/2020 12:00:00 AM,New,2/3/2020 12:00:00 AM,0
2/4/2020 12:00:00 AM,New,2/4/2020 12:00:00 AM,0
2/5/2020 12:00:00 AM,New,2/5/2020 12:00:00 AM,0
2/6/2020 12:00:00 AM,New,2/6/2020 12:00:00 AM,0
2/7/2020 12:00:00 AM,New,2/7/2020 12:00:00 AM,0
2/8/2020 12:00:00 AM,New,2/8/2020 12:00:00 AM,0
2/9/2020 12:00:00 AM,New,2/9/2020 12:00:00 AM,0
2/10/2020 12:00:00 AM,New,2/10/2020 12:00:00 AM,0
2/11/2020 12:00:00 AM,New,2/11/2020 12:00:00 AM,0
2/12/2020 12:00:00 AM,New,2/12/2020 12:00:00 AM,0
2/13/2020 12:00:00 AM,New,2/13/2020 12:00:00 AM,0
2/14/2020 12:00:00 AM,New,2/14/2020 12:00:00 AM,0
2/15/2020 12:00:00 AM,New,2/15/2020 12:00:00 AM,0
2/16/2020 12:00:00 AM,New,2/16/2020 12:00:00 AM,0
2/17/2020 12:00:00 AM,New,2/17/2020 12:00:00 AM,0
2/18/2020 12:00:00 AM,New,2/18/2020 12:00:00 AM,0
2/19/2020 12:00:00 AM,New,2/19/2020 12:00:00 AM,0
2/20/2020 12:00:00 AM,New,2/20/2020 12:00:00 AM,0
2/21/2020 12:00:00 AM,New,2/21/2020 12:00:00 AM,0
2/22/2020 12:00:00 AM,New,2/22/2020 12:00:00 AM,0
2/23/2020 12:00:00 AM,New,2/23/2020 12:00:00 AM,0
2/24/2020 12:00:00 AM,New,2/24/2020 12:00:00 AM,0
2/25/2020 12:00:00 AM,New,2/25/2020 12:00:00 AM,0
2/26/2020 12:00:00 AM,New,2/26/2020 12:00:00 AM,0
2/27/2020 12:00:00 AM,New,2/27/2020 12:00:00 AM,0
2/28/2020 12:00:00 AM,New,2/28/2020 12:00:00 AM,0
2/29/2020 12:00:00 AM,New,2/29/2020 12:00:00 AM,0
3/1/2020 12:00:00 AM,New,3/1/2020 12:00:00 AM,0
3/2/2020 12:00:00 AM,New,3/2/2020 12:00:00 AM,0
3/3/2020 12:00:00 AM,New,3/3/2020 12:00:00 AM,0
3/4/2020 12:00:00 AM,New,3/4/2020 12:00:00 AM,0
3/5/2020 12:00:00 AM,New,3/5/2020 12:00:00 AM,0
