Date,weekly
2020-03-16,0.0
2020-03-23,2.0
2020-03-30,12.0
2020-04-06,20.0
2020-04-13,11.0
2020-04-20,13.0
2020-04-27,32.0
2020-05-04,92.0
2020-05-11,63.0
2020-05-18,63.0
2020-05-25,67.0
2020-06-01,41.0
2020-06-08,42.0
2020-06-15,35.0
2020-06-22,49.0
2020-06-29,85.0
2020-07-06,102.0
2020-07-13,59.0
2020-07-20,101.0
2020-07-27,93.0
2020-08-03,124.0
2020-08-10,118.0
2020-08-17,131.0
2020-08-24,112.0
2020-08-31,120.0
2020-09-07,171.0
2020-09-14,243.0
2020-09-21,235.0
2020-09-28,333.0
2020-10-05,277.0
2020-10-12,326.0
2020-10-19,340.0
2020-10-26,458.0
